packet_count,byte_count,flow_duration,protocol,label,attack_type
150,491,0,TCP,normal,Normal
255,146,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,8385,0,TCP,normal,Normal
255,619,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
270,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
219,2538,0,TCP,normal,Normal
20,334,0,TCP,malicious,Credential Attack
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
255,14088,0,TCP,normal,Normal
16,18,0,ICMP,malicious,Probe
255,849,0,TCP,normal,Normal
255,1521,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
280,0,0,TCP,malicious,DDoS
255,12158,0,TCP,normal,Normal
255,252,5607,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,14858,507,TCP,normal,Normal
279,0,0,TCP,malicious,DDoS
255,6815,0,TCP,normal,Normal
255,10714,0,TCP,normal,Normal
255,1641,0,TCP,normal,Normal
53,8,0,ICMP,malicious,Probe
255,0,0,TCP,malicious,DDoS
255,858,0,TCP,normal,Normal
255,0,0,TCP,malicious,Probe
255,90,0,UDP,normal,Normal
41,252,1,UDP,normal,Normal
255,86,0,UDP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,2626,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,0,0,TCP,malicious,DDoS
262,0,0,TCP,malicious,DDoS
181,1963,2,TCP,normal,Normal
255,251,9052,UDP,normal,Normal
255,3296,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,28,0,UDP,malicious,DDoS
255,1116,0,TCP,normal,Normal
38,334,0,TCP,malicious,Credential Attack
258,0,0,TCP,malicious,DDoS
255,800,0,TCP,normal,Normal
255,0,0,TCP,malicious,DDoS
255,28,0,UDP,malicious,DDoS
255,1618,0,TCP,normal,Normal
255,112,0,UDP,normal,Normal
212,177,0,UDP,normal,Normal
